# Valeur de la RUL -- maintenance insulaire (fenetres de visite + cout fixe)
# horizon=25 ans | N_MC=200 | mult U_log[0.50,2.00] | seed=2026 | VoLL=3.0 | Tvisite=6m | marge=1
# strategie de conduite FIXE : RB2(SoH) ; politiques : ['instant', 'corrective', 'calendar', 'rul']
# ages calendaires de ref (nominal x 1.00) : {'bat': 3.89, 'fc': 5.52, 'ely': None}
# cout total = uni0 + C_visite*n_interventions + gaspillage ; C_visite en post-proc
# TEST NUL instant==base : OK (ecart 0.000e+00 kEUR)

## Points nominaux (multiplicateurs = 1)
policy;lpsp;deg;uni0;nint;nprev;waste;outfc;outely
instant;2.9099;58.024;81.889;10.000;0.000;0.000;0.000;0.000
corrective;3.3164;57.119;84.319;8.000;0.000;0.000;16358.000;0.000
calendar;2.8577;58.524;81.962;11.000;11.000;4.374;0.000;0.000
rul;2.8577;58.524;81.962;11.000;11.000;4.374;0.000;0.000

## Tirages (mondes perturbes, 200 complets)
draw;m_fc_a;m_fc_b;m_fc_s;m_ely_a;m_ely_b;m_ely_s;m_bat;instant_lpsp;instant_deg;instant_uni0;instant_nint;instant_nprev;instant_waste;instant_outfc;instant_outely;corrective_lpsp;corrective_deg;corrective_uni0;corrective_nint;corrective_nprev;corrective_waste;corrective_outfc;corrective_outely;calendar_lpsp;calendar_deg;calendar_uni0;calendar_nint;calendar_nprev;calendar_waste;calendar_outfc;calendar_outely;rul_lpsp;rul_deg;rul_uni0;rul_nint;rul_nprev;rul_waste;rul_outfc;rul_outely
0;0.6408;1.2140;0.9556;0.8357;0.8178;1.4959;1.7536;2.9521;94.154;118.365;15.000;0.000;0.000;0.000;0.000;3.1762;92.430;118.479;13.000;0.000;0.000;1550.000;771.000;3.2257;92.346;118.802;14.000;4.000;1.082;0.000;2305.000;2.9274;95.137;119.145;15.000;15.000;7.737;215.000;0.000
1;0.6394;1.2359;0.7561;1.9105;1.7897;1.2073;1.4196;3.0084;76.774;101.447;12.000;0.000;0.000;0.000;0.000;3.0960;75.966;101.358;10.000;0.000;0.000;1593.000;0.000;3.0844;75.894;101.190;12.000;4.000;1.535;0.000;0.000;2.9470;77.455;101.625;10.000;11.000;5.040;164.000;0.000
2;1.0212;1.5711;0.9309;0.7998;0.7350;0.6843;1.0364;2.8267;57.482;80.665;10.000;0.000;0.000;0.000;0.000;3.1668;56.631;82.604;8.000;0.000;0.000;12416.000;0.000;2.7834;57.805;80.633;11.000;11.000;3.034;0.000;0.000;2.7834;57.805;80.633;11.000;11.000;3.034;0.000;0.000
3;0.9087;1.2538;0.5090;0.9301;0.8295;0.6556;1.1406;2.8093;60.548;83.589;10.000;0.000;0.000;0.000;0.000;2.9055;60.133;83.962;10.000;0.000;0.000;5217.000;0.000;2.8316;60.106;83.329;11.000;4.000;1.509;0.000;0.000;2.7537;61.310;83.894;10.000;11.000;6.110;0.000;0.000
4;0.9142;0.7578;0.6684;1.6809;1.5104;1.1594;0.8068;2.9652;49.382;73.701;8.000;0.000;0.000;0.000;0.000;3.0581;48.811;73.891;7.000;0.000;0.000;4128.000;0.000;2.7904;50.649;73.534;11.000;11.000;13.181;0.000;0.000;2.9181;49.802;73.734;8.000;6.000;2.080;113.000;0.000
5;1.8579;1.0918;0.9110;1.7422;0.7785;1.3122;0.7725;3.0073;51.956;76.620;11.000;0.000;0.000;0.000;0.000;3.3685;51.194;78.820;9.000;0.000;0.000;8398.000;1153.000;2.9904;52.980;77.505;11.000;7.000;13.354;8398.000;1153.000;2.9068;52.649;76.489;12.000;8.000;3.354;105.000;243.000
6;0.7185;1.3210;0.6858;0.9905;1.1173;0.6497;1.3779;2.8130;71.054;94.124;11.000;0.000;0.000;0.000;0.000;2.9355;70.512;94.587;10.000;0.000;0.000;3515.000;0.000;2.8670;70.438;93.951;12.000;4.000;1.513;0.000;0.000;2.7497;71.913;94.465;9.000;12.000;6.486;0.000;0.000
7;1.0695;1.1835;0.8376;0.8953;0.9929;0.9592;1.2757;2.9064;69.809;93.645;12.000;0.000;0.000;0.000;0.000;3.1376;68.342;94.075;11.000;0.000;0.000;6690.000;0.000;3.0429;68.560;93.516;11.000;4.000;0.276;0.000;0.000;2.7976;71.088;94.032;13.000;13.000;10.318;0.000;0.000
8;1.1129;0.8904;0.5013;1.5032;1.0272;0.7863;0.9999;2.8355;55.592;78.847;9.000;0.000;0.000;0.000;0.000;2.9147;55.218;79.122;9.000;0.000;0.000;3545.000;0.000;2.7788;55.985;78.776;11.000;11.000;5.358;0.000;0.000;2.7833;56.075;78.902;10.000;10.000;4.528;0.000;0.000
9;0.5692;1.7525;1.9717;0.5424;0.8216;1.3757;0.7730;3.0136;51.619;76.335;10.000;0.000;0.000;0.000;0.000;3.2701;50.863;77.682;10.000;0.000;0.000;6804.000;2081.000;2.9641;52.654;76.964;13.000;7.000;13.354;6804.000;2081.000;2.9076;52.291;76.137;12.000;12.000;3.955;0.000;0.000
